# 0.8 < z < 1.1
# logMs phi lowerbound upperbound
8.4787 -1.9080 -1.9625 -1.853
8.6291 -1.9447 -1.9844 -1.8749
8.8849 -1.9917 -2.0500 -1.9625
9.1291 -2.0719 -2.1230 -2.0208
9.3732 -2.1595 -2.2106 -2.1011
9.6281 -2.2689 -2.3200 -2.2179
9.8776 -2.3784 -2.4222 -2.3054
10.1273 -2.4441 -2.5024 -2.4003
10.3715 -2.5097 -2.5681 -2.4587
10.6211 -2.5754 -2.6411 -2.5243
10.8814 -2.7140 -2.8016 -2.6557
11.1248 -3.0424 -3.1446 -2.9767
11.3678 -3.5240 -3.6334 -3.4437
11.621 -4.23910 -4.3996 -4.1442
11.8736 -5.1658 -5.5087 -4.9615
12.1214 -5.8517 -7.0703 -5.5452
